"site","meanMaxTemp","maxMaxTemp","meanDays18","yearsMaxTemp18","freqMax18","meanResist","meanRMSE","totObs","flag"
"MADEP_W1967_T1",29.2897310454271,30.8974387698218,135.617647058824,34,1,418.842250785501,1.14157371697641,44,""
"MADEP_W1969_T1",26.2838782888751,27.621464684214,121.617647058824,34,1,229.331610751496,0.767177727711248,59,""
"MADEP_W1973_T1",27.5264791983184,28.8539737569145,143.205882352941,34,1,383.869299258906,1.06643455017232,72,""
"MADEP_W1975_T1",28.3587811866698,29.7699754630439,146.794117647059,34,1,439.939442799074,1.0141678203668,72,""
"MADEP_W1979_T1",26.1070996468184,27.3790291491372,113.705882352941,34,1,197.632619805767,0.811672879554736,59,""
"MADEP_W2002_T1",22.3153977330093,23.5425264501082,66.7352941176471,34,1,256.254274098474,1.34048130572285,113,""
"MADEP_W2003_T1",24.1724456343076,25.5817101809181,84.2352941176471,34,1,169.165147998374,1.44972854433038,113,""
"MADEP_W2004_T1",24.2385302071388,25.6533543094645,84.9411764705882,34,1,166.225724086765,1.45340828292998,113,""
"MADEP_W2006_T1",19.4971093364999,28.1889162647283,37.2352941176471,34,1,437.517086497802,1.33180118494248,126,""
"MADEP_W2007_T1",22.0088713518324,24.8159150031364,74.1470588235294,34,1,296.692043280074,1.19619600575711,126,""
"MADEP_W2008_T1",22.0739862753009,24.573663801124,73.1176470588235,34,1,294.105274613063,1.17354972557727,126,""
"MADEP_W2034_T1",25.4840973156186,27.2937934998824,103.147058823529,34,1,174.690054720342,0.841479697435694,109,""
"MADEP_W2038_T1",21.5524226451554,24.5628765471344,55.8529411764706,34,1,364.150532403642,0.814351676903463,109,""
"MADEP_W2039_T1",22.3251446419039,24.2746921189662,65.2058823529412,34,1,324.789195393569,0.813607642829953,109,""
"MADEP_W2040_T1",19.6686721391662,24.717853839111,20.2647058823529,34,1,525.032490031279,0.962461155041535,109,""
"MADEP_W2043_T1",21.6751503191844,24.0806094176674,57.5588235294118,34,1,362.568796804926,0.904094451813925,109,""
"MADEP_W2045_T1",22.8273934711876,24.2480060721248,69.0882352941177,34,1,295.547147958432,0.973255309453318,93,""
"MADEP_W2050_T1",21.8387170572327,24.4796988140248,60.5294117647059,34,1,344.469553945194,0.97864967564158,109,""
"MADEP_W2053_T1",25.914928446753,27.6673669910497,103.147058823529,34,1,165.520399143793,0.877201415766939,109,""
"MADEP_W2058_T1",20.6365679809237,22.4341137068769,34.1470588235294,34,1,405.006129830009,1.23944372718571,51,""
"MADEP_W2059_T1",21.9980066965888,23.1736282583819,59.7647058823529,34,1,283.339117071632,1.21225760244848,74,""
"MADEP_W2060_T1",22.7908345510551,25.7306210235238,96.6176470588235,34,1,259.381318338446,1.10104701557136,86,""
"MADEP_W2061_T1",22.8910228231519,25.1761685819735,93.4705882352941,34,1,251.775494179662,1.08410923383808,86,""
"MADEP_W2071_T1",17.3150373374518,25.3577564950853,14.6666666666667,3,0.0882352941176471,675.238728963531,0.729294066329743,36,""
"MADEP_W2074_T1",22.8457199087021,25.5735801946657,84.7647058823529,34,1,180.393772609747,0.856283978297214,108,""
"MADEP_W2076_T1",23.7569186590385,26.5433818498308,88.5,34,1,128.789251478991,1.01881853505343,101,""
"MADEP_W2080_T1",25.5202250199852,28.3119426302631,116.941176470588,34,1,230.322313421859,0.983113630607396,101,""
"MADEP_W2085_T1",17.4585815730253,25.0491947459152,7.6,5,0.147058823529412,685.419399418607,0.789094727830363,108,""
"MADEP_W2087_T1",23.717105843575,26.0250116285629,94.7941176470588,34,1,153.643292208404,0.825730898040429,108,""
"MADEP_W2121_T1",21.1115899236706,22.6655883802123,43.2058823529412,34,1,369.699379122948,0.726813250577561,74,""
"MADEP_W2129_T1",24.2352906970814,25.5043164176755,91.9705882352941,34,1,168.716902815429,0.955168070102524,131,""
"MADEP_W2130_T1",21.9232655863848,25.910720606512,76.2941176470588,34,1,288.319362621383,1.658573128183,131,"Flag"
