"site","totalObs","meanMaxTemp","maxMaxTemp","meanDays18","yearsMaxTemp18","freqMax18","meanResist","meanRMSE","flag"
"MADEP_W1773_T1",108,22.2524748271175,24.3456107342275,74.5294117647059,34,1,231.327118213334,0.859093247266421,"Flag"
"MADEP_W1774_T1",110,23.9575264623501,25.0798000895299,110.735294117647,34,1,236.03209976967,0.781210073321716,""
"MADEP_W1775_T1",108,20.8663656621548,22.0636027246173,42.0294117647059,34,1,362.193567316374,0.542252731342307,""
"MADEP_W1776_T1",108,20.9262544757948,23.3466386474872,56.7352941176471,34,1,296.240968998197,0.754859515108209,""
"MADEP_W1777_T1",110,24.676210472895,25.8178382015371,104.647058823529,34,1,179.610802212423,0.426168651791668,""
"MADEP_W1782_T1",63,19.4781454704944,20.7994794730344,26.1470588235294,34,1,411.462700619544,0.465869895921811,""
"MADEP_W1784_T1",69,28.7428221822373,29.5131632783743,209.352941176471,34,1,1011.4151023909,1.29042658026261,"Flag"
"MADEP_W1789_T1",76,21.778905802421,23.0880081906403,64.0882352941177,34,1,317.62910573009,0.328426221350546,""
"MADEP_W1799_T1",76,24.5724518588184,26.3770819853865,166.588235294118,34,1,484.540487392877,0.586296411560966,""
"MADEP_W1809_T1",96,21.8331989434212,23.2518693261816,66.1470588235294,34,1,213.997305238126,0.431767303531663,""
"MADEP_W1815_T1",96,21.8191887987096,24.3854028081925,70.2941176470588,34,1,267.030554378741,0.711893432502105,""
"MADEP_W1817_T1",82,22.1531439176422,23.5297089512425,79.5294117647059,34,1,243.415871915342,0.981334631509925,"Flag"
"MADEP_W1818_T1",96,21.9117781442981,23.4159442906736,62.1764705882353,34,1,259.941773723708,0.520376327284519,""
"MADEP_W1820_T1",96,21.7639229714638,23.2030884844004,74.2647058823529,34,1,256.768530337261,0.434703934918737,""
"MADEP_W1822_T1",96,21.1540091400364,22.6277449865359,52.2647058823529,34,1,283.477250017322,0.426464705541395,""
"MADEP_W1823_T1",96,20.3173834683183,21.7877283696153,35.3529411764706,34,1,354.421336572931,0.482495549968601,""
"MADEP_W1824_T1",86,23.06883878867,25.8495170603034,93.8235294117647,34,1,227.624836679583,0.563157594950737,""
"MADEP_W1827_T1",70,19.9335020870178,21.3568292230264,34.0588235294118,34,1,383.060527014506,0.649011568328482,""
"MADEP_W1853_T1",115,22.3137405799841,23.6019187987361,70.2352941176471,34,1,244.913927098529,0.413005496954579,""
"MADEP_W1854_T1",107,23.3567942687309,24.6144276948709,86.7058823529412,34,1,195.515793449268,0.450151098652167,""
"MADEP_W1855_T1",103,20.0449143489134,21.1914723910461,26.0882352941176,34,1,419.052943593932,0.395101047138042,""
"MADEP_W1863_T1",107,20.9787183066512,22.2517851837086,42.8235294117647,34,1,303.744091432942,0.366189386598046,""
"MADEP_W1864_T1",115,21.4998923450532,22.7116671135821,59.4411764705882,34,1,286.071265132644,0.48691856098864,""
"MADEP_W1877_T1",99,24.620571522637,26.1093694313409,99.9411764705882,34,1,230.01175411212,0.471178710678424,""
"MADEP_W1897_T1",108,23.0121788721507,26.9224447953969,86.7058823529412,34,1,215.092369547068,1.03186103430633,"Flag"
"MADEP_W1905_T1",108,19.8150576944419,20.785859011303,39.9411764705882,34,1,380.575697700438,0.44418581320224,""
"MADEP_W1909_T1",109,19.4033446909565,20.4134875873146,27.3823529411765,34,1,419.510114348105,0.445363614826348,""
"MADEP_W1911_T1",109,18.968836161381,19.7742058931028,20.8235294117647,34,1,429.743547701692,0.271244672148001,""
"MADEP_W1912_T1",109,20.3072093741768,21.0985536997357,63.8235294117647,34,1,301.743080486963,0.339354091442569,""
"MADEP_W1924_M1",8,NA,NA,NA,NA,NA,0,NA,NA
"MADEP_W1933_T1",46,23.9284948949185,25.7516826293861,97.2352941176471,34,1,207.481602248401,0.662995389025175,""
"MADEP_W1935_T1",95,24.0540341377841,25.7490011365635,108.676470588235,34,1,241.533379095293,0.461924768422282,""
"MADEP_W1937_T1",95,19.5902016346785,21.2169020408399,18.3823529411765,34,1,535.172279009866,0.396656384133615,""
"MADEP_W1938_T1",95,22.0334583232387,23.2787091514943,63.3823529411765,34,1,314.911250876046,0.327811821185714,""
"MADEP_W1941_T1",95,21.9048418370703,23.1018992661057,65.1764705882353,34,1,315.481937971732,0.293215471875395,""
"MADEP_W1943_T1",95,24.7583074536445,26.0267499389096,98.8529411764706,34,1,174.63215777533,0.428325899715993,""
"MADEP_W1953_T1",95,22.7005651275486,24.0817503750139,79.5882352941177,34,1,259.865418245419,0.33477165777997,""
"MADEP_W1958_T1",102,22.8738686332671,23.9383764241172,88.2352941176471,34,1,240.903063777061,0.505885233325918,""
"MADEP_W1959_T1",102,24.5507935278004,25.7129880755122,101.382352941176,34,1,168.301747641266,0.615155051016521,""
"MADEP_W1965_T1",61,25.2160687756245,26.5899910870555,116,34,1,240.282913774811,0.590114231343889,""
"MADEP_W1967_T1",47,28.4276042720469,30.3002354370439,138.588235294118,34,1,437.159127498736,0.855841388205162,"Flag"
"MADEP_W1968_T1",68,NA,NA,NA,NA,NA,0,NA,NA
"MADEP_W1969_T1",61,26.0300658765888,27.7311310136492,115.588235294118,34,1,216.918667615066,0.46657683831657,""
"MADEP_W1973_T1",74,24.8042845772795,27.1709760868504,125.176470588235,34,1,280.321456201805,0.494370441546722,""
"MADEP_W1975_T1",74,25.6249059405459,27.9705283479011,132.5,34,1,309.044356042123,0.524209872846604,""
"MADEP_W1979_T1",61,24.553616876996,26.0668693769736,105.294117647059,34,1,203.067418991401,0.525199557578965,""
"MADEP_W2002_T1",115,21.897316086252,23.1051592494974,66.5882352941177,34,1,261.755359953273,0.43622724329086,""
"MADEP_W2003_T1",115,23.2184773634805,24.5038480188921,83.7647058823529,34,1,197.458167168798,0.556715090829739,""
"MADEP_W2004_T1",115,23.3241060223623,24.6149424023552,84.7352941176471,34,1,193.271773259518,0.571124907138877,""
"MADEP_W2006_T1",128,19.9905217093215,21.0639981347774,51.1470588235294,34,1,392.363287094945,0.935469889936542,"Flag"
"MADEP_W2007_T1",128,22.1735548288357,23.4879716689663,76.9411764705882,34,1,272.982038492479,0.508454428735393,""
"MADEP_W2008_T1",128,22.2899093329176,23.6724375789266,76.0294117647059,34,1,268.955983986635,0.507889042581679,""
"MADEP_W2033_T1",111,24.324685377724,26.0974396080992,96.0588235294118,34,1,188.075065629003,0.549632105255535,""
"MADEP_W2034_T1",111,24.7697243716951,26.5282459489807,100.823529411765,34,1,181.034319259362,0.552826213127124,""
"MADEP_W2038_T1",111,23.2822226917277,25.0040016799211,87.5294117647059,34,1,226.827860293291,0.542060407256866,""
"MADEP_W2039_T1",111,22.1597248314627,23.8281599918678,63.8823529411765,34,1,325.558345060823,0.491450923583998,""
"MADEP_W2040_T1",111,20.3157319168716,21.994676758334,30.3529411764706,34,1,496.471073917434,0.373497271499268,""
"MADEP_W2043_T1",111,21.0699254877548,22.4415658126211,53.8823529411765,34,1,377.785892522573,0.44984827534049,""
"MADEP_W2045_T1",95,22.8730103564694,24.6116815731162,70.2058823529412,34,1,282.035921721923,0.44651576957986,""
"MADEP_W2050_T1",111,23.5739442276751,24.9927279224591,91.7058823529412,34,1,214.805192611186,0.581774441396985,""
"MADEP_W2053_T1",111,24.9867225161354,26.6803613516237,102.264705882353,34,1,177.874813549209,0.514377721816525,""
"MADEP_W2057_T1",67,23.956869308067,25.1388741023477,112.352941176471,34,1,252.918152339529,0.476899807449592,""
"MADEP_W2058_T1",53,21.5129194242758,22.768869737045,61,34,1,287.111272973209,0.35301190137124,""
"MADEP_W2059_T1",76,21.8836372399289,23.1530542071528,65.0588235294118,34,1,265.726463066667,0.287419491802904,""
"MADEP_W2060_T1",88,20.9091548017613,21.9877376034648,67.1764705882353,34,1,345.191404072179,0.42136045420934,""
"MADEP_W2061_T1",88,22.2204808474903,23.3950655148519,90.1764705882353,34,1,268.25815633548,0.293740073402336,""
"MADEP_W2071_T1",36,16.7404198549294,17.380593436403,NA,NA,NA,675.787204571238,0.228119271077101,""
"MADEP_W2072_T1",96,NA,NA,NA,NA,NA,0,NA,NA
